ticker,price,patrimonio_mi,div_yield_hist,div_yield,price_to_book,Mean_of_Future_Values_3_mo,Max_of_Future_Values_3_mo,rank_0,size
KNIP11,91.16999816894531,77000.0,0.8701692983071283,0.1066,0.95,90.66938032341346,91.25126312860095,1.0816474852935936,AAAAA
KNCR11,100.62999725341797,58000.0,1.1320348780273606,0.135,1.0,102.3451279859454,103.58861326237503,1.0641432165630214,AAAAA
HGLG11,160.0,52000.0,0.7605901041666666,0.0919,1.04,158.3250353199919,159.39077673533927,0.9798844941756831,AAAAA
KNRI11,158.0,38000.0,0.6344936708860758,0.0767,0.99,155.16921445070776,155.8183933756694,1.0152551532326288,AAAAA
IRDM11,73.69000244140625,32000.0,1.142302513382759,0.1371,0.85,71.77948480868257,73.61331590701143,1.2155278437854378,AAAAA
XPLG11,106.22000122070312,30000.0,0.7120727053957282,0.086,0.96,101.90731662948988,104.03471440722905,1.04217131450537,AAAAA
MXRF11,10.460000038146973,25000.0,1.0662858469717422,0.131,1.06,10.399394277550412,10.439958047344966,0.9724256497415775,AAAAA
XPML11,113.58000183105469,35000.0,0.7230368346194753,0.0868,1.01,109.3394264769391,112.32572690715251,1.00041313690798,AAAAA
CPTS11,7.889999866485596,28000.0,7.84899524417305,0.1082,0.89,7.839068724341616,7.854713691753694,1.1488278198300135,AAAAA
HGRU11,130.0,23000.0,0.758974358974359,0.0913,1.05,126.79785647799147,128.18059206009931,0.9604858173909969,AAAAA
RECR11,84.01000213623047,25000.0,1.0322147533783481,0.1285,0.89,84.26704886023627,85.75822152203375,1.183823784189548,AAAAA
VISC11,118.55000305175781,25000.0,0.7188956654528711,0.0883,1.03,113.69896656960792,118.1797625004974,0.9892067797235345,AAAAA
BTLG11,99.69999694824219,28000.0,0.7496828213425315,0.0901,1.01,97.9832420693382,98.16230953631252,0.9967865838206571,AAAAA
HGBS11,223.5,22000.0,0.7046634973900074,0.0872,1.0,219.2992160642742,221.1912215030001,1.011244698576132,AAAAA
KNHY11,101.08000183105469,19000.0,1.0470254394160319,0.12710000000000002,1.0,101.19753299821056,103.35292064812414,1.0549758386426575,AAAAA
HFOF11,73.27999877929688,19000.0,0.8574417901202949,0.10300000000000001,0.91,69.53859656673777,71.206962951211,1.095310227576883,AAAAA
BCFF11,8.970000267028809,20000.0,6.243032144139417,0.09359999999999999,0.11,8.826931309825742,8.917299341069805,9.24897524473409,AAAAA
BRCR11,59.290000915527344,27000.0,0.7575757458776414,0.0909,0.59,54.6784923240456,55.62178633875193,1.6261864422473098,AAAAA
BRCO11,121.30000305175781,18000.0,0.6581478262557755,0.08130000000000001,1.0,118.4077242498779,118.94403223386308,1.0005075567659487,AAAAA
TGAR11,118.11608123779297,16000.0,1.1840652127256106,0.1378,1.06,118.51265843651974,121.65969854672444,1.0051742275425053,AAAA
HGRE11,129.38999938964844,18000.0,0.6633691455152773,0.0796,0.84,119.18042221612876,121.37729375633012,1.138977238305284,AAAAA
JSRE11,71.63999938964844,23000.0,0.6525684031029613,0.0779,0.64,68.26964612069288,69.70810037897304,1.5499735273440105,AAAAA
HGCR11,101.8499984741211,16000.0,1.1372934223731503,0.13449999999999998,1.01,104.0486077655344,105.62085714222084,1.0612807623247915,AAAA
VILG11,95.80000305175781,17000.0,0.7063326149385241,0.084,0.86,90.60233440118616,91.74894056941352,1.1370061821780497,AAAAA
MCCI11,92.25,16000.0,1.043360433604336,0.1252,0.98,90.20710679417316,90.30333580820223,1.030140260151529,AAAA
BBPO11,96.75,16000.0,0.9339910735259573,0.1158,0.95,93.75115433311566,94.7483695742609,1.0606972378450785,AAAA
HSML11,91.83000183105469,15000.0,0.7931322212900453,0.0958,0.97,89.8034998849855,90.26834046767252,1.0376667034766116,AAAA
VRTA11,87.12000274658203,14000.0,0.9871441378412261,0.1162,0.94,86.03839014065424,86.32376609152158,1.084728678173683,AAAA
LVBI11,111.95999908447266,17000.0,0.6891491065047175,0.084,0.95,107.8035893309959,108.4278878624356,1.0408310713676932,AAAAA
TRXF11,107.9000015258789,14000.0,0.8336840320781507,0.10060000000000001,1.06,112.66755294929214,114.93286851894118,1.0301592013567809,AAAA
VCJR11,89.05999755859375,14000.0,0.9342952572909007,0.125,0.93,87.66417886547212,88.0235133831608,1.0959658785642115,AAAA
RBVA11,108.0,12000.0,0.9173274691358025,0.1094,1.0,106.48317340630058,107.86573099703496,1.026072766109295,AAAA
RBRR11,87.0,14000.0,0.953449808429119,0.1144,0.93,89.18602677805963,90.39226630325057,1.1491470166793167,AAAA
HCTR11,36.060001373291016,25000.0,1.6593870693615822,0.1991,0.32,21.033435821533075,35.632671356201044,3.241670665938162,AAAAA
PVBI11,100.59778594970703,13000.0,0.6560780575528383,0.0762,1.0,99.9879560184779,100.75576575204516,1.0206503266478764,AAAA
HSLG11,88.81147003173828,13000.0,0.8251829888585832,0.0973,0.86,79.49117533365848,81.34641265869212,1.0909595992190253,AAAA
URPR11,82.12367248535156,12000.0,1.4890434217676571,0.17809999999999998,0.82,82.2618975093542,84.55062453782328,1.3114551538126795,AAAA
KNSC11,8.800000190734863,12000.0,9.26136343562899,0.1188,0.1,9.804763687935424,10.386210621563292,12.153046415025859,AAAA
RBRF11,74.95999908447266,12000.0,0.8137673525216951,0.0977,0.87,70.46481887791838,71.56134099569816,1.1241125940713765,AAAA
MALL11,115.4000015258789,11000.0,0.6939630179759948,0.0834,0.97,112.17695396206295,114.73455177919764,1.046353924807329,AAAA
VGIP11,85.16000366210938,11000.0,0.9945983602356979,0.12240000000000001,0.93,83.74418640136388,85.83528137206784,1.1169593122364965,AAAA
ALZR11,114.9000015258789,11000.0,0.6968577326556488,0.08439999999999999,1.07,114.59323128724786,115.29495951205442,0.957579379015707,AAAA
RZTR11,99.51591491699219,11000.0,1.0120420015059213,0.11460000000000001,1.01,85.99253395846246,89.40565173136736,0.9149949347166766,AAAA
CVBI11,89.5999984741211,10000.0,1.0450487190957747,0.1272,0.95,91.94266303052392,92.50070857266137,1.1212668318919587,AAA
GTWR11,81.79000091552734,11000.0,0.9607938923303613,0.1159,0.86,77.78545891797937,78.43840954447127,1.1474530854339262,AAAA
GGRC11,113.5999984741211,10000.0,0.8631099000909729,0.1027,1.0,106.6448727983122,110.2219176048267,0.9951748843120333,AAA
VGIR11,9.5600004196167,10000.0,1.283758026573323,0.15380000000000002,0.98,9.7431646717415,9.938515906087703,1.1015980050457728,AAA
VGHF11,9.110711097717285,8652.0,1.2544104742202713,0.1399,1.0,8.884214719074398,8.908702850279639,1.0120269025738657,AAA
BTCI11,9.579999923706055,10000.0,1.0756402312524187,0.1291,0.94,9.804446526381549,10.00151683002796,1.1464837946895903,AAA
RZAK11,84.63999938964844,8238.0,1.4464623382729442,0.177,0.91,85.06850179035138,86.36312103270164,1.1708891152279572,AAA
DEVA11,44.65999984741211,14000.0,1.3050988465037296,0.1955,0.46,30.28356067298937,40.99134723304797,2.092856143809345,AAAA
HABT11,85.94000244140625,7889.0,1.3274764963046766,0.1602,0.89,85.6699372857873,88.16556182609769,1.1988582310142155,AAA
VINO11,7.489999771118164,8975.0,3.095238189823382,0.09880000000000001,0.69,6.830282415217089,7.058479240413949,1.3995131477090497,AAA
XPCI11,83.68000030517578,7948.0,1.069550665315476,0.1307,0.92,83.98199972674733,86.84310673444786,1.1649023313442508,AAA
RBRP11,51.52000045776367,9999.0,0.5192158338959987,0.0623,0.63,46.32546377517588,49.40604798208692,1.5458797549291978,AAA
BTCR11,9.579999923706055,4583.0,1.0756402312524187,0.0102,0.92,9.804448312639597,10.001518971514894,1.137676196417609,AAA
SDIL11,96.5,6120.0,0.8485895221646516,0.1,1.01,94.37976942710252,94.62833625917378,0.9951679542979851,AAA
RBRL11,87.08000183105469,7040.0,0.7600116765066058,0.09029999999999999,0.83,81.99125654680735,82.79815083743027,1.171437942568566,AAA
MGFF11,68.31999969482422,6594.0,0.7649793896387564,0.09179999999999999,0.94,66.27622433917968,66.67645320659626,1.0620652204948746,AAA
XPIN11,81.87000274658203,7526.0,0.7939415881198768,0.0953,0.78,78.59935130562212,79.77296873489502,1.2789750632649657,AAA
SARE11,47.08000183105469,8680.0,1.2142452090764078,0.1417,0.5,44.79447894525864,45.87312299157057,2.0177645083359548,AAA
RCRB11,147.7100067138672,7726.0,0.5094441580100167,0.0611,0.71,149.09734734063514,151.2528133649827,1.464262321290197,AAA
RBRY11,100.19000244140625,5491.0,1.168408994385058,0.1402,1.01,99.48512129010815,100.37925260378474,1.0267377416156491,AAA
BTAL11,73.04000091552734,6251.0,1.0014082177716392,0.12689999999999999,0.7,68.42398716579957,69.23140155910562,1.3970381567487407,AAA
GALG11,9.087085723876953,5250.0,0.9118120525641124,0.1081,1.0,8.399529139179633,8.777686119058377,0.9920565691086903,AAA
BCRI11,68.8499984741211,5954.0,1.1946260250233063,0.13970000000000002,0.72,67.16667378634178,70.34638725122696,1.4686362551333023,AAA
RECT11,43.29999923706055,7907.0,1.0708044838404696,0.1285,0.47,39.23244586730447,40.82120887572232,2.070295855398987,AAA
KFOF11,93.16000366210938,4328.0,0.8229568876439303,0.09960000000000001,0.98,92.74768295010854,93.77366582602104,1.0527053119832175,AA
SNCI11,99.80000305175781,4127.0,1.0312290933828179,0.12369999999999999,1.02,103.50501737729756,104.30641067368214,1.0563488067858329,AA
BARI11,79.80999755859375,4403.0,1.0231800839242982,0.1199,0.84,78.83419036859372,83.79308319085935,1.2873548412537594,AAA
CACR11,100.88999938964844,1825.0,,0.17309999999999998,1.0,,,1.043275,A
MFII11,90.81999969482422,4395.0,1.2136273255197425,0.1444,0.91,88.04485155717674,90.02998584717028,1.128667363408061,AA
BCIA11,99.13999938964844,3976.0,0.8044179997072601,0.0974,0.93,95.72656036156768,98.42770209895195,1.0935379453166376,AA
KISU11,8.05609130859375,3919.0,0.9043733501310155,0.1101,0.92,7.899343013760035,8.056091308590357,1.1168749999995295,AA
TEPP11,90.48999786376953,4010.0,0.6234574869987352,0.0764,0.95,87.65253610863196,89.39596831818793,1.0597673888219965,AA
AFHI11,95.4800033569336,3208.0,1.1176611014073274,0.1324,1.0,95.75186279979154,97.08082748357364,1.050421023744096,AA
XPSF11,7.889999866485596,3673.0,0.9643008190217214,0.1155,0.93,3.680356017564874,6.109915304230726,0.8567179381846737,AA
PATL11,61.61042785644531,4917.0,0.9599488138706375,0.11410000000000001,0.63,58.68729220023695,59.8815011545874,1.586765528763137,AAA
KCRE11,94.48999786376953,3602.0,0.9815853751390898,0.12140000000000001,0.94,96.59819630799576,98.54181713461185,1.1431195418641185,AA
FIIB11,509.9599914550781,3162.0,0.6881110220192677,0.0828,1.1,504.2695606902885,517.8221026346731,0.9422147708830595,AA
AIEC11,55.029998779296875,4581.0,1.3825792298937327,0.16649999999999998,0.58,47.62587769872477,52.18387671959679,1.703021918884459,AAA
PORD11,87.08000183105469,3632.0,1.1646378563866677,0.1407,0.89,84.43632580479441,85.44983028868543,1.1413439560821212,AA
RZAT11,87.5199966430664,3743.0,,0.1297,0.87,,,1.1866954022988505,AA
OUJP11,95.88999938964844,3189.0,1.2383981724461177,0.1465,0.98,94.38896203785504,97.86116308628766,1.0795248895953788,AA
BPFF11,68.55999755859375,3412.0,0.9043174184335793,0.1085,0.9,64.07127972768014,64.99865906035647,1.081967944780559,AA
MCHF11,8.149999618530273,3064.0,1.139351499428514,0.1423,0.86,8.205575785108485,8.364703036586775,1.2358792627423025,AA
LGCP11,86.69999694824219,3612.0,0.7252864538262045,0.0882,0.85,87.49208338283206,88.09791271683365,1.2217989668441436,AA
BLMG11,51.90999984741211,3314.0,1.3512397871130797,0.1703,0.6,47.166111683629936,51.02657778577393,1.7080535057914412,AA
SNFF11,85.30999755859375,2581.0,0.7619271112433901,0.1008,0.94,83.58412170411115,85.72801971436506,1.0959824660295392,A
HGFF11,82.55000305175781,2611.0,0.8025438831112107,0.0969,0.91,81.16430520684949,83.25740668630586,1.1351670211301805,AA
BTRA11,59.9900016784668,4238.0,1.1168527775529202,0.1479,0.48,59.521241645510656,60.49689532203274,2.1786188764561447,AA
QAGR11,48.5099983215332,2957.0,0.867674923670844,0.1066,0.83,47.14763017430275,51.2449937075254,1.306665738033963,AA
NSLU11,191.25784301757812,2604.0,0.8089106180381886,0.096,0.96,177.01398199099037,185.18872239317517,1.0328184931021722,AA
WHGR11,9.470000267028809,2484.0,1.0383667429841077,0.1278,0.96,9.89807733277352,10.03059774269217,1.1385818207385605,A
RBFF11,59.040000915527344,2533.0,0.8525293454068328,0.1023,0.87,56.11951501886753,58.99802343828418,1.177983696022255,A
VIUR11,7.868539810180664,2439.0,0.9150363566419681,0.10880000000000001,0.88,7.208205740774012,7.507149651569742,1.1136616525081953,A
HSAF11,83.19847869873047,2293.0,1.1075065143500413,0.1274,0.93,84.78670499945491,84.94012141103893,1.1327422830502305,A
VTLT11,95.19999694824219,2141.0,0.9156162758498507,0.1104,0.94,92.9615250162022,93.88475217997696,1.0780883965761345,A
CPFF11,73.69999694824219,2105.0,0.758706499078089,0.091,0.89,73.7107171238765,74.12330921789365,1.1557577430779695,A
PLCR11,86.25,1920.0,1.1449275362318843,0.1351,0.95,86.26956987499686,86.79471720416471,1.0950567051439861,A
BLMR11,6.630000114440918,1924.0,0.8873805779458047,0.1118,0.88,6.211788037140619,6.306872755604493,1.1111939080655275,A
MORE11,74.87999725341797,1949.0,0.8190883491323008,0.0983,0.89,75.16809356483368,75.82337087052439,1.1657113262748475,A
XPPR11,18.31999969482422,5088.0,0.8187773062156662,0.0873,0.26,13.25245590467703,16.734568889716975,3.5899817644828422,AAA
RBHG11,89.75,1555.0,1.177875049741345,0.1391,1.01,87.37739054362301,87.86722564697587,1.003037131954543,A
VCRI11,7.960000038146973,1692.0,1.2562814010146566,0.1514,0.84,,,1.29089399183472,A
JSAF11,100.41063690185547,1516.0,0.946114903074024,0.1121,1.05,102.32555262246876,105.31009101866827,1.0268444104922259,A
CYCR11,9.160750389099121,1582.0,1.1150053522296877,0.1325,0.95,8.354144108575804,8.623114691216305,1.0236756628427184,A
NCHB11,82.01000213623047,1510.0,1.1719277831543977,0.1442,0.92,81.61075028402308,82.71060306060637,1.1357617849996053,A
MORC11,86.08999633789062,1875.0,1.2710950875068028,0.1534,0.88,82.22697096536622,84.24983626077638,1.1547220826335216,A
SADI11,84.56999969482422,1482.0,1.2090575897951412,0.1445,0.88,84.80569203693373,85.51815032957887,1.1906152760754969,A
VSLH11,4.070000171661377,3110.0,0.7722007396314744,0.1474,0.39,3.7269133841300905,3.8398634436847,2.50826072176753,AA
ARRI11,9.0600004196167,1158.0,1.1856805926197893,0.1391,1.02,9.071784334433792,9.272747823028965,1.038307490820436,A
TORD11,2.0999999046325684,4436.0,23.809524890787255,0.081,0.17,-0.3275670987376164,0.1123629471877575,0.3211156920851148,AAA
RVBI11,82.5,1222.0,0.9090909090909091,0.1091,0.97,81.52498589949535,82.93312191498586,1.0646063457071804,A
HOFC11,19.68000030517578,3382.0,0.9400406358293885,0.1032,0.22,,,5.549244804140287,AA
JPPA11,90.9000015258789,874.0,1.433810023603002,0.16820000000000002,0.94,91.04089618712273,91.43305983639551,1.1150647005494636,A
SPTW11,41.45000076293945,1007.0,1.037394432051408,0.1255,0.74,40.28711914272163,41.59945754793156,1.398775461767156,A
IBCR11,77.41000366210938,919.0,1.2384582432177704,0.1408,0.81,70.52232360838536,72.1983566284049,1.191981372967415,A
CARE11,1.409999966621399,2968.0,,0.0,0.17,1.4045568629200005,1.8518241694180029,7.725591210912829,AA
RELG11,49.529998779296875,1660.0,1.4132849126832487,0.060599999999999994,0.4,45.770879109698,48.45078277587637,2.482576890123493,A
VIFI11,8.039999961853027,736.0,0.8291874002857784,0.1007,0.88,10.971259487748188,13.89281480447672,2.0130266967372497,A
